ID,ST_Code,Area_Name,ST_Name,Region,Age,Persons,Males,Females,education_Persons,education_Males,education_Females,School_Persons,School_Males,School_Females,College_Persons,College_Males,College_Females,Vocational_Persons,Vocational_Males,Vocational_Females,Other_Persons,Other_Males,Other_Females,Literacy_Persons,Literacy_Males,Literacy_Females
1,0,District - Baleshwar 08,All Scheduled Tribes,Total,All ages,228454,116193,112261,27016,17398,9618,25992,16562,9430,881,721,160,81,65,16,36,30,6,26,20,6
2,0,District - Baleshwar 08,All Scheduled Tribes,Total,0-5,35726,18164,17562,1002,554,448,1002,554,448,0,0,0,0,0,0,0,0,0,0,0,0
3,0,District - Baleshwar 08,All Scheduled Tribes,Total,6-14,58007,30005,28002,21594,13642,7952,21594,13642,7952,0,0,0,0,0,0,0,0,0,0,0,0
4,0,District - Baleshwar 08,All Scheduled Tribes,Total,15-19,20354,10681,9673,3602,2534,1068,3151,2185,966,394,303,91,32,27,5,24,19,5,1,0,1
5,0,District - Baleshwar 08,All Scheduled Tribes,Total,20-24,16760,8561,8199,697,561,136,245,181,64,423,355,68,19,16,3,7,6,1,3,3,0
6,0,District - Baleshwar 08,All Scheduled Tribes,Total,25+,97371,48670,48701,120,106,14,0,0,0,63,62,1,30,22,8,5,5,0,22,17,5
7,0,District - Baleshwar 08,All Scheduled Tribes,Total,Unknown,236,112,124,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8,0,District - Baleshwar 08,All Scheduled Tribes,Rural,All ages,209223,106252,102971,24263,15647,8616,23437,14962,8475,723,607,116,58,44,14,20,15,5,25,19,6
9,0,District - Baleshwar 08,All Scheduled Tribes,Rural,0-5,32818,16683,16135,890,491,399,890,491,399,0,0,0,0,0,0,0,0,0,0,0,0
10,0,District - Baleshwar 08,All Scheduled Tribes,Rural,6-14,53219,27364,25855,19557,12352,7205,19557,12352,7205,0,0,0,0,0,0,0,0,0,0,0,0
11,0,District - Baleshwar 08,All Scheduled Tribes,Rural,15-19,18477,9672,8805,3124,2226,898,2772,1951,821,320,253,67,19,14,5,12,8,4,1,0,1
12,0,District - Baleshwar 08,All Scheduled Tribes,Rural,20-24,15272,7823,7449,586,484,102,218,168,50,347,298,49,14,12,2,4,3,1,3,3,0
13,0,District - Baleshwar 08,All Scheduled Tribes,Rural,25+,89233,44610,44623,105,93,12,0,0,0,55,55,0,25,18,7,4,4,0,21,16,5
14,0,District - Baleshwar 08,All Scheduled Tribes,Rural,Unknown,204,100,104,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15,0,District - Baleshwar 08,All Scheduled Tribes,Urban,All ages,19231,9941,9290,2753,1751,1002,2555,1600,955,158,114,44,23,21,2,16,15,1,1,1,0
16,0,District - Baleshwar 08,All Scheduled Tribes,Urban,0-5,2908,1481,1427,112,63,49,112,63,49,0,0,0,0,0,0,0,0,0,0,0,0
17,0,District - Baleshwar 08,All Scheduled Tribes,Urban,6-14,4788,2641,2147,2037,1290,747,2037,1290,747,0,0,0,0,0,0,0,0,0,0,0,0
18,0,District - Baleshwar 08,All Scheduled Tribes,Urban,15-19,1877,1009,868,478,308,170,379,234,145,74,50,24,13,13,0,12,11,1,0,0,0
19,0,District - Baleshwar 08,All Scheduled Tribes,Urban,20-24,1488,738,750,111,77,34,27,13,14,76,57,19,5,4,1,3,3,0,0,0,0
20,0,District - Baleshwar 08,All Scheduled Tribes,Urban,25+,8138,4060,4078,15,13,2,0,0,0,8,7,1,5,4,1,1,1,0,1,1,0
21,0,District - Baleshwar 08,All Scheduled Tribes,Urban,Unknown,32,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,501,District - Baleshwar 08,Bagata,Total,All ages,89,43,46,20,14,6,19,14,5,1,0,1,0,0,0,0,0,0,0,0,0
23,501,District - Baleshwar 08,Bagata,Total,0-5,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,501,District - Baleshwar 08,Bagata,Total,6-14,29,17,12,18,13,5,18,13,5,0,0,0,0,0,0,0,0,0,0,0,0
25,501,District - Baleshwar 08,Bagata,Total,15-19,6,1,5,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
26,501,District - Baleshwar 08,Bagata,Total,20-24,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,501,District - Baleshwar 08,Bagata,Total,25+,35,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,501,District - Baleshwar 08,Bagata,Total,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,501,District - Baleshwar 08,Bagata,Rural,All ages,89,43,46,20,14,6,19,14,5,1,0,1,0,0,0,0,0,0,0,0,0
30,501,District - Baleshwar 08,Bagata,Rural,0-5,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,501,District - Baleshwar 08,Bagata,Rural,6-14,29,17,12,18,13,5,18,13,5,0,0,0,0,0,0,0,0,0,0,0,0
32,501,District - Baleshwar 08,Bagata,Rural,15-19,6,1,5,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
33,501,District - Baleshwar 08,Bagata,Rural,20-24,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,501,District - Baleshwar 08,Bagata,Rural,25+,35,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,501,District - Baleshwar 08,Bagata,Rural,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,501,District - Baleshwar 08,Bagata,Urban,All ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,501,District - Baleshwar 08,Bagata,Urban,0-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,501,District - Baleshwar 08,Bagata,Urban,6-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,501,District - Baleshwar 08,Bagata,Urban,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,501,District - Baleshwar 08,Bagata,Urban,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,501,District - Baleshwar 08,Bagata,Urban,25+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,501,District - Baleshwar 08,Bagata,Urban,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,502,District - Baleshwar 08,Baiga,Total,All ages,269,120,149,38,22,16,38,22,16,0,0,0,0,0,0,0,0,0,0,0,0
44,502,District - Baleshwar 08,Baiga,Total,0-5,47,21,26,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,502,District - Baleshwar 08,Baiga,Total,6-14,75,31,44,34,19,15,34,19,15,0,0,0,0,0,0,0,0,0,0,0,0
46,502,District - Baleshwar 08,Baiga,Total,15-19,24,9,15,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
47,502,District - Baleshwar 08,Baiga,Total,20-24,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,502,District - Baleshwar 08,Baiga,Total,25+,108,49,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,502,District - Baleshwar 08,Baiga,Total,Unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,502,District - Baleshwar 08,Baiga,Rural,All ages,269,120,149,38,22,16,38,22,16,0,0,0,0,0,0,0,0,0,0,0,0
51,502,District - Baleshwar 08,Baiga,Rural,0-5,47,21,26,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,502,District - Baleshwar 08,Baiga,Rural,6-14,75,31,44,34,19,15,34,19,15,0,0,0,0,0,0,0,0,0,0,0,0
53,502,District - Baleshwar 08,Baiga,Rural,15-19,24,9,15,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
54,502,District - Baleshwar 08,Baiga,Rural,20-24,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,502,District - Baleshwar 08,Baiga,Rural,25+,108,49,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,502,District - Baleshwar 08,Baiga,Rural,Unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,502,District - Baleshwar 08,Baiga,Urban,All ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,502,District - Baleshwar 08,Baiga,Urban,0-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
